year,week,total_distance_km,total_time_minutes,total_elevation_meters,number_of_activities,total_time_hours,average_speed_kmh
2024,1,17.843,6145,146.0,2,102.41666666666667,0.17421969080553296
2024,36,62.5493,14578,560.3,7,242.96666666666667,0.2574398408560845
2024,37,70.7185,20890,558.4000000000001,8,348.1666666666667,0.20311680229775012
2024,38,84.82589999999999,36108,751.3,13,601.8,0.14095363908275174
2024,39,88.95139999999999,36346,751.0,11,605.7666666666667,0.1468410278985308
2024,40,64.4631,31025,495.1,9,517.0833333333334,0.12466675261885575
2024,41,64.8285,32591,175.9,9,543.1833333333333,0.11934920683624316
2024,42,57.526,21086,367.8,10,351.43333333333334,0.16368965190173576
2024,43,7.3095,2717,80.4,1,45.28333333333333,0.161417004048583
2024,44,22.3272,15027,237.7,6,250.45,0.08914833300059893
2024,45,30.044400000000003,20568,134.5,8,342.8,0.08764410735122521
2024,46,47.1443,20800,262.7,7,346.6666666666667,0.13599317307692307
2024,47,25.491199999999996,16924,156.5,7,282.06666666666666,0.09037296147482864
2024,48,42.365300000000005,18127,264.5,8,302.1166666666667,0.14022827825895076
2024,49,37.730599999999995,21108,267.0,9,351.8,0.10725014212620805
2024,50,41.711200000000005,20876,239.0,8,347.93333333333334,0.11988273615635181
2024,51,49.2809,21771,217.29999999999998,10,362.85,0.13581617748380873
2024,52,45.771300000000004,15033,334.3,5,250.55,0.18268329674715628
2025,1,29.0773,11606,294.0,4,193.43333333333334,0.1503220747889023
2025,2,64.2637,27084,338.0,9,451.4,0.1423653079308817
2025,3,67.6604,24461,491.0,9,407.68333333333334,0.16596312497444912
2025,4,57.106300000000005,19482,239.0,7,324.7,0.17587403757314446
2025,5,49.602599999999995,19809,256.0,8,330.15,0.15024261699227623
2025,6,68.2567,22242,404.0,8,370.7,0.1841292149986512
2025,7,62.6388,20926,810.0,6,348.76666666666665,0.17960087928892288
2025,8,64.4674,23360,459.0,8,389.3333333333333,0.16558407534246575
2025,9,139.4073,37791,6689.0,10,629.85,0.22133412717313644
2025,10,81.8227,28800,3665.0,7,480.0,0.17046395833333333
2025,11,60.5139,23551,356.0,8,392.51666666666665,0.154168994947136
2025,12,66.03880000000001,28893,401.0,11,481.55,0.13713799190115256
2025,13,58.5167,18730,323.0,10,312.1666666666667,0.18745339028296848
2025,14,56.4425,15931,318.0,4,265.51666666666665,0.21257610947209846
2025,15,52.926199999999994,17672,293.0,5,294.53333333333336,0.17969511090991394
2025,16,38.2656,12071,309.0,4,201.18333333333334,0.19020263441305607
